,date,favorites,hashtags,query,retweets,tweet,url
0,2020-12-06,0,"[""[{'text': '2020Election', 'indices': [70, 83]}, {'text': 'MAGA', 'indices': [84, 89]}, {'text': 'TrumpTantrum', 'indices': [90, 103]}, {'text': 'Cult45', 'indices': [104, 111]}, {'text': 'BidenHarris', 'indices': [112, 124]}, {'text': 'MyPresident', 'indices': [125, 137]}]""]",Who won the elections?,0,"Before election, after election, same crap. He and his bots gotta go. #2020Election #MAGA #TrumpTantrum #Cult45 #BidenHarris #MyPresident https://t.co/xylfR9pWKJ",https://twitter.com/twitter/statuses/1335680967529271296
1,2020-11-03,0,['[]'],Who won the elections?,15,RT @digimuller: Fact: No U.S. election has seen widespread fraud and it is routine for ballots to be counted after Election Day https://t.c…,https://twitter.com/twitter/statuses/1323616330734542848
2,2020-10-31,4,['[]'],Who won the elections?,1,How to vote in person on Election Day https://t.co/JccGXBBsiF,https://twitter.com/twitter/statuses/1322350134026506245
3,2020-11-04,3,['[]'],Who won the elections?,0,2020 election: what we know so far https://t.co/AN9WyW3SA8,https://twitter.com/twitter/statuses/1323795139224084480
4,2020-11-04,3,['[]'],Who won the elections?,2,When will we know the US election result? https://t.co/nMlm9pbONp,https://twitter.com/twitter/statuses/1323950547473412096
5,2020-11-10,449,['[]'],Who won the elections?,140,"“We believe the statements by President Trump alleging fraud in the election are efforts to undermine the legitimacy of the election and are unacceptable,” they said. https://t.co/y5vdPJ75HD",https://twitter.com/twitter/statuses/1326032970034143234
6,2020-11-03,313546,['[]'],Who won the elections?,34030,Election Day should be a national holiday.,https://twitter.com/twitter/statuses/1323726954231701505
7,2020-11-02,0,['[]'],Who won the elections?,25,RT @HuffPost: We want to explain how we’ll be calling election winners on Tuesday night. HuffPost’s election hub is powered by data from @A…,https://twitter.com/twitter/statuses/1323394820677672960
8,2020-11-03,0,"[""[{'text': 'election', 'indices': [125, 134]}]""]",Who won the elections?,12,RT @EmmaKinery: Polls will begin closing in the next hour. Follow our @bpolitics Election Night Live Blog for updates on the #election as t…,https://twitter.com/twitter/statuses/1323755575897980928
9,2020-11-03,1509,['[]'],Who won the elections?,204,North Carolina’s election results will be delayed by at least 45 minutes after the board of elections extended voting at one location that was having problems this morning https://t.co/dhFjo3BtE5 https://t.co/JUfTMNy8rR,https://twitter.com/twitter/statuses/1323706777762963457
10,2020-11-07,20,['[]'],Who won the elections?,7,From agony to elation: the election that has transfixed the world https://t.co/viNHGA0Ok8,https://twitter.com/twitter/statuses/1325147611507134470
11,2020-11-06,511,['[]'],Who won the elections?,62,"Where drugs were on the ballot on Election Day, they won handily. https://t.co/M6TsBajd0u",https://twitter.com/twitter/statuses/1324667871604166659
12,2020-11-03,114,['[]'],Who won the elections?,45,Trump signals chaotic stretch after election https://t.co/iR54ZsOOLF,https://twitter.com/twitter/statuses/1323452349592068096
13,2020-11-03,88,['[]'],Who won the elections?,26,"""Heres what you need to know about election night https://t.co/E4fBGgmvbb""",https://twitter.com/twitter/statuses/1323585975939903489
14,2020-11-03,1,['[]'],Who won the elections?,0,The Senate races to watch on election night https://t.co/ZM6pAEfGir,https://twitter.com/twitter/statuses/1323530106560778240
15,2020-11-03,48,['[]'],Who won the elections?,11,How Big Tech is planning for election night https://t.co/qYWQ4gX491,https://twitter.com/twitter/statuses/1323676070734897153
16,2020-11-29,0,"[""[{'text': 'trump', 'indices': [105, 111]}, {'text': 'uselectionresults', 'indices': [112, 130]}, {'text': 'ElectionFraud', 'indices': [131, 145]}, {'text': 'gop', 'indices': [146, 150]}, {'text': 'Democrats', 'indices': [151, 161]}, {'text': 'biden', 'indices': [162, 168]}, {'text': 'Pennsylvaniahearing', 'indices': [169, 189]}, {'text': 'election', 'indices': [190, 199]}]""]",Who won the elections?,0,"I’ve been busy for the last few days, is there any actual proof yet that the US election was fraudulent? #trump #uselectionresults #ElectionFraud #gop #Democrats #biden #Pennsylvaniahearing #election",https://twitter.com/twitter/statuses/1333145679594741765
17,2020-11-06,3,['[]'],Who won the elections?,2,US election 2020: what is the state of the race? https://t.co/Ya3WIsJt1A,https://twitter.com/twitter/statuses/1324747052006387712
18,2020-11-05,1,['[]'],Who won the elections?,0,What we know so far about the 2020 US election https://t.co/akEGTZFC3n,https://twitter.com/twitter/statuses/1324487741711724547
19,2020-11-03,160,['[]'],Who won the elections?,26,"Perspective: Yes, your 401(k) can survive the election https://t.co/STOo93MxN3",https://twitter.com/twitter/statuses/1323426180196978688
20,2020-11-04,247,['[]'],Votes count,64,Analysis: Where votes are still being counted https://t.co/yYYChPmTBS,https://twitter.com/twitter/statuses/1323985875915649024
21,2020-11-05,193,['[]'],Votes count,49,Analysis: Where votes are still being counted https://t.co/wMst7sWnIf,https://twitter.com/twitter/statuses/1324358070865219584
22,2020-11-04,0,"[""[{'text': 'Election2020', 'indices': [60, 73]}]""]",Votes count,223,RT @business: To be clear: Votes are still being counted in #Election2020 \n\nThere are millions of votes left to count.\n\nDoes Trump have a p…,https://twitter.com/twitter/statuses/1323892192948244481
23,2020-11-05,62,['[]'],Votes count,30,"Count the votes or stop the count? Trump supporters have been trying to pressure election officials to stop counting ballots in states like Pennsylvania and Michigan, while making the opposite demands in Arizona. https://t.co/6jijrW3tG2",https://twitter.com/twitter/statuses/1324420535166636032
24,2020-11-05,1319,['[]'],Votes count,97,"Joe Biden says ""every vote must be counted"" as several battleground states continue counting ballots https://t.co/8WRuyt5iNC",https://twitter.com/twitter/statuses/1324354300282310656
25,2020-10-28,4,['[]'],Votes count,3,What states have learned about counting votes in a pandemic https://t.co/jo6PyS8N6K,https://twitter.com/twitter/statuses/1321590388709335045
26,2020-11-07,3,['[]'],Votes count,0,Why is the Nevada vote count taking so long? https://t.co/qTBhQovUvt,https://twitter.com/twitter/statuses/1324884544139497473
27,2020-11-05,916798,['[]'],Votes count,60074,"Be patient, folks. Votes are being counted, and we feel good about where we are.",https://twitter.com/twitter/statuses/1324406121721786369
28,2020-11-06,1405,['[]'],Votes count,207,"""The votes being counted in Pennsylvania do not include any mail ballots arriving after Nov. 3. Those are being kept segregated. This count is for votes in by Election Day,"" @NYTnickc reports. Follow our live coverage. https://t.co/WYVvELn2Mq",https://twitter.com/twitter/statuses/1324718336962383874
29,2020-11-04,47,"[""[{'text': 'Election2020', 'indices': [35, 48]}]""]",Votes count,15,"""Heres the latest from Michigan ⬇️ #Election2020 \n\nBloomberg News estimates that at least 92% of the votes state-wide have been counted. \n\nOf the votes that remain to be counted, a majority of them come from places that leaned Democratic in 2016 https://t.co/MCaVdBoezx https://t.co/s0GIv0NyXi""",https://twitter.com/twitter/statuses/1324094226293006341
30,2020-11-04,430,"[""[{'text': 'Election2020', 'indices': [109, 122]}]""]",Votes count,189,"WATCH: Trump supporters chant ""stop the count"" outside Detroit\s TCF Center, where ballots are being counted #Election2020 https://t.co/pmxg7EKqIt https://t.co/OVday0x7m0",https://twitter.com/twitter/statuses/1324091482844909570
31,2020-11-05,301867,['[]'],Votes count,19864,.@JoeBiden and I are clear: every single vote must be counted.,https://twitter.com/twitter/statuses/1324153175285374977
32,2020-11-04,415,['[]'],Votes count,44,"In photos: As votes are counted, Americans remain anxious https://t.co/tvxLuYzDol https://t.co/mrM2lj6ciZ",https://twitter.com/twitter/statuses/1323875649929547776
33,2020-11-02,523,['[]'],Votes count,121,Analysis: Votes are always being counted for days after election night https://t.co/TV29ht5RGL,https://twitter.com/twitter/statuses/1323378368918757376
34,2020-11-09,2192,['[]'],Votes count,288,President Trump has been trying to pre-emptively delegitimize ballots counted after November 3. But states have always counted past election night.\nhttps://t.co/OByHe0seo7,https://twitter.com/twitter/statuses/1325717278856503297
35,2020-11-04,393,['[]'],Votes count,58,"With an estimated 99 percent of votes counted, here is where things stand in Wisconsin. https://t.co/OQGQp5o2qL",https://twitter.com/twitter/statuses/1323984141885624320
36,2020-11-05,78,['[]'],Votes count,18,"""Germanys top diplomat asks Trump to let all votes be counted https://t.co/8SZ7xJfsHK""",https://twitter.com/twitter/statuses/1324461756769599501
37,2020-11-06,15,['[]'],Votes count,6,"""Trumps vote count lawsuits fail in court but rouse his base https://t.co/IlpD8UrXix""",https://twitter.com/twitter/statuses/1324557372459782145
38,2020-11-04,194,['[]'],Votes count,32,"With an estimated 86 percent of votes counted, here is where things stand in Michigan. https://t.co/bMLHEbdy3N",https://twitter.com/twitter/statuses/1323985602107330561
39,2020-11-03,69,['[]'],Votes count,14,Analysis from @daveweigel: The crucial counties to watch as the vote count comes in https://t.co/oK9FoOc3dO,https://twitter.com/twitter/statuses/1323731904521293832
40,2020-11-08,951,['[]'],Is Joe Biden the president?,134,The votes that won Joe Biden the presidency https://t.co/2amOi2CPyq,https://twitter.com/twitter/statuses/1325443230377385984
41,2020-11-07,15,['[]'],Is Joe Biden the president?,5,How Joe Biden won the presidency – a visual guide https://t.co/zRdmZyGFUb,https://twitter.com/twitter/statuses/1325131043431735296
42,2020-11-07,27,['[]'],Is Joe Biden the president?,8,"""Joe Bidens journey to the presidency – in pictures https://t.co/mLMAJ5yyqJ""",https://twitter.com/twitter/statuses/1325114290630774788
43,2020-11-10,7,['[]'],Is Joe Biden the president?,2,"""Soul of the nation: how Joe Bidens faith will shape his presidency https://t.co/gGWRMIphYn""",https://twitter.com/twitter/statuses/1326072757717708800
44,2020-11-07,4462,['[]'],Is Joe Biden the president?,307,"Watch Kamala Harris\ call with Joe Biden: ""We did it, Joe"" https://t.co/rvn38UsweF https://t.co/851SH3tNxo",https://twitter.com/twitter/statuses/1325138255449378816
45,2020-11-05,112,['[]'],Is Joe Biden the president?,30,A Joe Biden victory would likely mean a gridlock presidency https://t.co/B4ac725dHN,https://twitter.com/twitter/statuses/1324318205003894784
46,2020-11-09,5997,['[]'],Is Joe Biden the president?,438,Opinion: Joe Biden is already showing he is the right president for the moment https://t.co/Bu3sRz8qt1,https://twitter.com/twitter/statuses/1325592780559757313
47,2020-11-07,28306,"[""[{'text': 'CNNElection', 'indices': [196, 208]}]""]",Is Joe Biden the president?,9192,"BREAKING: JOE BIDEN WINS\n\nJoe Biden will be the 46th president of the United States, CNN projects, after a victory in Pennsylvania puts the Scranton-born Democrat over 270 https://t.co/3BuAr574GM #CNNElection https://t.co/ewnnJquLPC",https://twitter.com/twitter/statuses/1325112912554364929
48,2020-11-07,12,['[]'],Is Joe Biden the president?,5,"What’s ahead under President Joe Biden, industry by industry https://t.co/HMnO4B9YVr",https://twitter.com/twitter/statuses/1325195849245208576
49,2020-11-10,3142,['[]'],Is Joe Biden the president?,352,"Joe Biden says President Trump\s refusal to concede the election that he lost is ""an embarrassment"" that ""will not help the President\s legacy"" https://t.co/uvu1WCAR79 https://t.co/nj4tl9vFlJ",https://twitter.com/twitter/statuses/1326276730668118020
50,2020-11-11,215,['[]'],Is Joe Biden the president?,39,"President Trump has yet to concede, or invite President-elect Joe Biden to the White House. https://t.co/FG4DvwCwgn",https://twitter.com/twitter/statuses/1326635227888971780
51,2020-11-10,761,['[]'],Is Joe Biden the president?,64,"Joe Biden moves quickly to tackle coronavirus, the issue that could define his presidency https://t.co/B8j07NAJo6 https://t.co/w0nF6z5sCn",https://twitter.com/twitter/statuses/1326157930857684992
52,2020-11-10,2866,['[]'],Is Joe Biden the president?,296,"Opinion: Joe Biden is right, it is time to move on https://t.co/QovnFMDoy3",https://twitter.com/twitter/statuses/1326293500997099522
53,2020-10-28,67,['[]'],Is Joe Biden the president?,13,"""The former president stumped for Joe Biden in Florida, which is anyones game as the 2020 election draws to an end. https://t.co/6wxqZDQNbd""",https://twitter.com/twitter/statuses/1321379943272587266
54,2020-11-07,2207,['[]'],Is Joe Biden the president?,252,"""President-elect Joe Bidens victory over President Donald Trump sparked celebrations in cities across the country https://t.co/QJLH3x4iQT""",https://twitter.com/twitter/statuses/1325216221210537985
55,2020-11-07,12822,['[]'],Is Joe Biden the president?,834,"Former President Barack Obama expressed confidence in his former vice president, President-elect Joe Biden. Follow along live: https://t.co/lboFPvVk3Z https://t.co/ynKidEZZnA",https://twitter.com/twitter/statuses/1325144764786872320
